SN,NAME,WINE,YR,REG,TP,RT,NUMR,PR,BD,ACD, RSG , AL , DN 
W4339-20718,A Coroa,200 Cestos Godello,2020,Valdeorras,NA,4.06,33,23.7,NA,NA, 9.9868 , 11.1057 , 0.9956 
W9737-31436,Aalto,Blanco de Parcela,2019,Ribera del Duero,Verdejo,4.21,80,41.9,NA,NA, 8.9416 , 11.6007 , 0.9960 
W8398-63402,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2011,Ribera del Duero,Ribera Del Duero Red,4.31,2207,64,5,3, 8.2189 , 11.9328 , 0.9952 
W4418-44312,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2015,Ribera del Duero,Ribera Del Duero Red,4.43,2858,172.5,5,3, 6.9998 , 11.4113 , 0.9955 
W4821-24646,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2016,Ribera del Duero,Ribera Del Duero Red,4.32,4411,78.65,5,3, NA , NA , NA 
W7100-61272,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2017,Ribera del Duero,Ribera Del Duero Red,4.37,3383,116.1879436,5,3, 7.2673 , 11.7522 , 0.9961 
W3718-90704,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2018,Ribera del Duero,Ribera Del Duero Red,4.34,3239,89.3,5,3, 7.4554 , 11.9582 , 0.9957 
W8911-37260,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2019,Ribera del Duero,Ribera Del Duero Red,4.32,1108,76.95,5,3, 7.7897 , 11.5108 , 0.9958 
W8596-57191,Aalto,Tinto,2012,Ribera del Duero,Ribera Del Duero Red,4.09,2844,26.9,NA,NA, 9.7212 , 11.1474 , 0.9957 
W8268-94039,Aalto,Tinto,2016,Ribera del Duero,Ribera Del Duero Red,4.31,1884,65.9,5,3, 8.0176 , 11.1958 , 0.9959 
W6441-53745,Aalto,Tinto,2017,Ribera del Duero,Ribera Del Duero Red,4.27,1561,51.52682717,5,3, 8.4906 , 11.9615 , 0.9955 
W7413-60038,Aalto,Tinto,2018,Ribera del Duero,Ribera Del Duero Red,4.15,1864,33.25,5,3, 9.1710 , 11.0737 , 0.9966 
W3760-17266,Aalto,Tinto,2019,Ribera del Duero,Ribera Del Duero Red,4.15,1018,,5,3, 9.1752 , 11.2562 , 0.9966 
W9051-39700,Abadal,3.9,2016,Pla de Bages,Red,4.05,441,22.95,4,3, 10.1203 , 11.1958 , 0.9964 
W1031-56568,Abadal,3.9,2017,Pla de Bages,Red,4.03,345,20.65,4,3, 10.1578 , 10.6989 , 0.9965 
W4871-56545,Abadal,3.9,2018,Pla de Bages,Red,4.04,56,21.3,4,3, 10.1485 , 11.1192 , 0.9966 
W1257-27049,Abadia Retuerta,Cuvee Palomar,2017,Sardon de Duero,Red,4.3,30,58.9,4,3, 8.4129 , 11.0031 , 0.9972 
W1626-73137,Abadia Retuerta,Le Domaine Blanco de Guarda,2014,Sardon de Duero,NA,4.37,190,123.82,NA,NA, 7.2338 , 12.1943 , 0.9947 
W3827-29299,Abadia Retuerta,Le Domaine Blanco de Guarda,2016,Sardon de Duero,NA,4.18,327,36.95,NA,NA, 9.1078 , 10.6245 , 0.9966 
W4991-77856,Abadia Retuerta,Le Domaine Blanco de Guarda,2018,Sardon de Duero,NA,4.16,309,34.1,NA,NA, 9.1508 , 10.7269 , 0.9969 
W6448-23313,Abadia Retuerta,Le Domaine Blanco de Guarda,2019,Sardon de Duero,NA,4.14,334,32.58,NA,NA, 9.1802 , 11.6226 , 0.9951 
W1617-69866,Abadia Retuerta,Le Domaine Blanco de Guarda,2020,Sardon de Duero,NA,4.15,99,33.8,NA,NA, 9.1615 , 11.2852 , 0.9970 
W1958-97577,Abadia Retuerta,Pago Garduna,2009,Castilla y Leon,Syrah,4.32,132,73.6,4,3, 7.8332 , 10.9359 , 0.9977 
W5349-19969,Abadia Retuerta,Pago Garduna,2015,Castilla y Leon,Syrah,4.32,299,75,NA,NA, 7.8151 , 10.5666 , 0.9966 
W3043-87750,Abadia Retuerta,Pago Garduna,2016,Castilla y Leon,Syrah,4.32,186,71.85,4,3, 7.9768 , 12.5223 , 0.9951 
W2864-93433,Abadia Retuerta,Pago Negralada,2009,Sardon de Duero,Tempranillo,4.32,165,73.6,4,2, 7.8325 , 11.4149 , 0.9967 
W2243-77704,Abadia Retuerta,Pago Negralada,2013,Sardon de Duero,Tempranillo,4.31,189,64.99,4,2, 8.0346 , 11.3925 , 0.9962 
W2158-91338,Abadia Retuerta,Pago Negralada,2014,Sardon de Duero,Tempranillo,4.34,726,91.57,4,2, 7.4100 , 11.6629 , 0.9962 
W1898-55680,Abadia Retuerta,Pago Negralada,2015,Sardon de Duero,Tempranillo,4.31,474,67.82,4,2, 8.0077 , 11.6612 , 0.9954 
W5611-72580,Abadia Retuerta,Pago Negralada,2016,Sardon de Duero,Tempranillo,4.31,152,63.95,4,2, 8.2230 , 10.9233 , 0.9967 
W2302-65056,Abadia Retuerta,Pago Valdebellon,2010,Sardon de Duero,Cabernet Sauvignon,4.28,191,55,4,3, 8.4560 , 11.9283 , 0.9958 
W2423-73298,Abadia Retuerta,Pago Valdebellon,2014,Sardon de Duero,Cabernet Sauvignon,4.31,237,64.5,4,3, 8.2126 , 11.3844 , 0.9964 
W4709-70426,Abadia Retuerta,Pago Valdebellon,2015,Sardon de Duero,Cabernet Sauvignon,4.31,569,67.45,4,3, 8.0100 , 11.4493 , 0.9969 
W3398-71530,Abadia Retuerta,Pago Valdebellon,2016,Sardon de Duero,Cabernet Sauvignon,4.31,60,65.9,4,3, 8.0177 , 12.3255 , 0.9945 
W9728-55611,Abadia Retuerta,Petit Verdot,2004,Sardon de Duero,Red,4.41,31,160.81,4,3, 7.0555 , 12.5898 , 0.9948 
W2869-29832,Abadia Retuerta,Petit Verdot,2014,Sardon de Duero,Red,4.43,249,176.98,4,3, 6.9789 , 11.5459 , 0.9964 
W9890-58362,Abadia Retuerta,Petit Verdot,2015,Sardon de Duero,Red,4.36,286,107.9,4,3, 7.3162 , 12.2885 , 0.9945 
W2323-82963,Abadia Retuerta,Petit Verdot,2016,Sardon de Duero,Red,4.37,26,115.9,4,3, 7.2706 , 11.2891 , 0.9957 
W9929-14091,Abadia Retuerta,Seleccion Especial,2014,Sardon de Duero,Red,4.26,5178,49.85,4,3, 8.6458 , 10.3890 , 0.9978 
W5782-97667,Abadia Retuerta,Seleccion Especial,2015,Sardon de Duero,Red,4.07,5152,24.95,4,3, 9.7472 , 10.9852 , 0.9969 
W5459-56341,Abadia Retuerta,Seleccion Especial,2016,Sardon de Duero,Red,4,7293,17.48,4,3, 10.9331 , 11.0912 , 0.9976 
W4346-28875,Abadia Retuerta,Seleccion Especial,2017,Sardon de Duero,Red,4.07,3093,25.5,NA,NA, 9.7415 , 11.2605 , 0.9952 
W7922-29060,Abadia Retuerta,Seleccion Especial,2018,Sardon de Duero,Red,4.1,68,,4,3, 9.7102 , 11.5324 , 0.9961 
W3889-11800,Abel Mendoza Monge,5V Blanco,2019,Rioja,Rioja White,4.19,68,37.98,3,3, 8.9847 , 11.6439 , 0.9961 
W2012-88149,Abel Mendoza Monge,Grano a Grano Graciano - Garnacha,2016,Rioja,Grenache,4.29,29,55.14,5,3, 8.4527 , 11.9579 , 0.9944 
W1514-16594,Abel Mendoza Monge,Grano a Grano Tempranillo,2016,Rioja,Rioja Red,4.37,65,120.13,4,3, 7.2406 , 11.7780 , 0.9944 
W2631-69918,Abel Mendoza Monge,Malvasia,2017,Rioja,Rioja White,4.13,72,31.5,3,3, 9.3173 , NA , 0.9961 
W9360-73572,Acustic Celler,Etern Vinyes Molt Velles,2016,Priorato,Priorat Red,4.22,26,42.5,4,3, 8.9336 , 12.0965 , 0.9946 
W7886-48968,Adama Wines,Tinto,2007,Ribera del Duero,Ribera Del Duero Red,4.14,55,32,5,3, 9.1942 , 11.3856 , 0.9953 
W9892-60174,Adama Wines,Tinto,2009,Ribera del Duero,Ribera Del Duero Red,4.19,229,39,5,3, 8.9734 , 10.5286 , NA 
W1533-81409,Adama Wines,Tinto,2010,Ribera del Duero,Ribera Del Duero Red,4.16,79,35,5,3, NA , 11.4670 , 0.9960 
W3142-34261,Adama Wines,Tinto,2011,Ribera del Duero,Ribera Del Duero Red,4.19,110,39,5,3, 8.9730 , 11.6749 , 0.9961 
W8020-14813,Adega Familiar Eladio Pineiro,Envidiacochina (Tete de Cuvee),2019,Rias Baixas,Albarino,4.01,438,18.46,3,3, 10.5813 , 11.3703 , 0.9957 
W9117-28127,AGE,Fuenmayor Gran Reserva,1959,Rioja,Rioja Red,4.48,29,230,4,3, 6.7623 , 12.1377 , 0.9951 
